Company,Rating,Type,Good Review,Bad Review
Chennais Amirta Group of Institutions,3.8,Education & Training | Chennai +16 other locations,Salary,Promotions
Axis Sales,4.4,Financial Services | Mumbai +67 other locations,,
Vasant Masala,4.1,Retail | Ahmedabad +24 other locations,"Company Culture, Work Life Balance, Salary",Promotions
Oerlikon Balzers,3.7,Metals & Mining | Pune +18 other locations,,
Badri Rai and Company,3.9,Engineering & Construction | Guwahati +19 other locations,,
Bankai Infotech,3.2,IT Services & Consulting | Ahmedabad +7 other locations,,
Takahata Precision,4.2,Auto Components | Neemrana +5 other locations,"Company Culture, Job Security, Work Life Balance",Promotions
thinkbridge,3.6,IT Services & Consulting | Pune +6 other locations,,
Teach For India,3.5,Non-Profit | New Delhi +13 other locations,,
Delval Flow Controls,4.2,Industrial Machinery | Pune +8 other locations,,
Euronics Industries,3.5,Building Material | Gurugram +18 other locations,,
FMI Automotive Components,3.9,Auto Components | Gurugram +4 other locations,Work Life Balance,Promotions
Auto Mechanics,2.7,Kolkata +8 other locations,,
Synmac Consultants,4.1,Accounting & Auditing | Chennai +3 other locations,,
Apollomedics Super Speciality Hospitals,4.0,Healthcare | Lucknow +5 other locations,,
SanDisk India Device Design Centre,3.9,Hardware & Networking | Bengaluru +9 other locations,"Work Life Balance, Company Culture","Promotions, Job Security"
Vehant Technologies,4.0,IT Services & Consulting | Noida +17 other locations,"Job Security, Work Life Balance, Company Culture",Work Satisfaction
Junomoneta Finsol,2.7,Investment Banking / Venture Capital / Private Equity | Rajkot +10 other locations,,
Ocl Iron & Steel,3.5,Iron & Steel | Rourkela +16 other locations,,
Cape East,3.4,Industrial Machinery | Doha +13 other locations,,
Jasper Industries,4.2,Automobile | Hyderabad +13 other locations,"Work Life Balance, Salary, Company Culture",Promotions
Uno Minda Kyoraku,3.9,Automobile | Bawal +11 other locations,,
Aurolab,3.8,Medical Equipment | Madurai +31 other locations,Skill Development,"Promotions, Salary, Work Life Balance"
Ritco Logistics,3.6,Logistics | Gurugram +34 other locations,,
Planit Testing India,3.3,IT Services & Consulting | Hyderabad +5 other locations,,
Jharkhand State Livelihood Promotion Society,3.5,Government | Ranchi +31 other locations,,
Mahanadi Coalfields,4.5,Metals & Mining | Sambalpur +22 other locations,,
BANGMETRIC,4.0,IT Services & Consulting | Noida +7 other locations,,
Shubhalakshmi Polyesters,3.9,Fashion & Textile | Bharuch +11 other locations,Skill Development,"Promotions, Salary"
Exim Logistics,4.1,Logistics | Bhubaneswar +21 other locations,,
Reynolds,4.3,Other | Chennai +30 other locations,,
Kirtane & Pandit,3.4,Accounting & Auditing | Pune +11 other locations,,
Aditya Birla Lifestyle Brands,3.9,Bengaluru +37 other locations,"Job Security, Skill Development","Salary, Promotions"
Ritco Logistics,3.6,Logistics | Gurugram +34 other locations,,
Aurolab,3.8,Medical Equipment | Madurai +31 other locations,Skill Development,"Promotions, Salary, Work Life Balance"
Vibracoustic,3.5,Automobile | Noida +10 other locations,,
Planit Testing India,3.3,IT Services & Consulting | Hyderabad +5 other locations,,
Scymes Services,3.4,IT Services & Consulting | Mumbai +11 other locations,,
Qatargas,4.6,Oil & Gas | Mumbai +15 other locations,,
Dedicated Freight Corridor Corporation Of India,4.0,Government | New Delhi +35 other locations,"Work Life Balance, Work Satisfaction, Skill Development",Promotions
Auditics Private Limited,3.8,Accounting & Auditing | Chennai +10 other locations,Work Life Balance,Promotions
Deccan iServices,3.6,Chennai +7 other locations,Job Security,"Promotions, Salary, Company Culture"
Tarento Technologies,3.6,IT Services & Consulting | Bengaluru +5 other locations,,
High Street Essentials,3.6,Retail | Noida +19 other locations,,
Unicommerce Esolutions,3.0,Software Product | Gurugram +8 other locations,,
Sresta Natural Bioproducts,3.6,FMCG | Hyderabad +37 other locations,,
Airtel Business,3.5,Telecom | Mumbai +44 other locations,,
Shrachi Group,2.5,Real Estate | Kolkata +15 other locations,,
Executive Ship Management,4.0,Ports & Shipping | Mumbai +15 other locations,,
Shobhit Mediworld,3.8,Lucknow +20 other locations,Skill Development,"Promotions, Salary"
CBSE,4.3,Education & Training | New Delhi +75 other locations,,
Advatix,3.0,Gurugram +7 other locations,,
Outscale Partners,2.4,IT Services & Consulting | Gurugram +3 other locations,,
Ambrane India,4.7,Consumer Electronics & Appliances | New Delhi +10 other locations,,
Enlink Managed Service pvt Ltd.,3.2,IT Services & Consulting | Mumbai +5 other locations,,
IonIdea,3.1,Software Product | Bengaluru +10 other locations,,
Lupin Diagnostics,4.0,Medical Equipment | Mumbai +35 other locations,,
Ki Mobility Solution,3.3,Internet | Chennai +29 other locations,,
Shivalik Rasayan,3.6,Agro Chemicals | Bharuch +14 other locations,,
Horizontal Integration,3.5,IT Services & Consulting | Bengaluru +12 other locations,,
Unirac,3.9,Power | Hyderabad +3 other locations,"Company Culture, Salary, Skill Development","Job Security, Promotions"
Mahanadi Coalfields,4.5,Metals & Mining | Sambalpur +22 other locations,,
Shri Kshetra Dharmasthala Rural Development Project,4.1,Bengaluru +50 other locations,,
Publicis Global Delivery,4.0,Media & Entertainment | Gurugram +10 other locations,"Work Life Balance, Job Security, Company Culture",Promotions
Replicon,3.5,Software Product | Bengaluru +4 other locations,,
Alcove Realty,3.9,Real Estate | Kolkata +5 other locations,,
Advance Auto Parts India,3.6,Retail | Hyderabad +1 other locations,"Salary, Work Life Balance","Job Security, Promotions, Skill Development"
FreshToHome,3.5,Hospitality | Bengaluru +20 other locations,,
BIZONGO,3.2,Emerging Technologies | Mumbai +11 other locations,,
Orange City Water,3.7,Waste Management | Nagpur +3 other locations,,
Amrit Bottlers,4.2,Beverage | Faizabad +9 other locations,"Job Security, Company Culture, Work Life Balance",Promotions
Rich Graviss Products,4.0,FMCG | Pune +29 other locations,"Skill Development, Salary, Company Culture",Promotions
Donaldson India Filter Systems,3.9,Industrial Machinery | Gurugram +8 other locations,"Work Life Balance, Salary, Company Culture","Promotions, Skill Development"
Jhajharia Nirman Limited,4.1,Engineering & Construction | Bilaspur +35 other locations,,
Axis Mutual Fund,3.8,Financial Services | Mumbai +43 other locations,Work Life Balance,"Promotions, Work Satisfaction, Skill Development"
Indivillage Tech Solutions,3.6,IT Services & Consulting | Yemmiganur +12 other locations,,
Vega Industries,4.0,Beauty & Personal Care | Noida +28 other locations,,
RealEstateIndia.com,4.8,Real Estate | New Delhi +4 other locations,,
BIZONGO,3.2,Emerging Technologies | Mumbai +11 other locations,,
Orange City Water,3.7,Waste Management | Nagpur +3 other locations,,
KK Spun Pipes,3.2,Industrial Machinery | New Delhi +18 other locations,,
Eagleview,3.2,Software Product | Bengaluru +4 other locations,,
Baxter Pharmaceuticals,4.2,Pharma | Ahmedabad +8 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
Shri Ram Finance Corporation,2.9,Financial Services | Raipur +58 other locations,,
BAIF Development Research Foundation,3.7,Non-Profit | Pune +49 other locations,Job Security,"Salary, Promotions"
Chandan Healthcare,3.2,Healthcare | Lucknow +16 other locations,,
Altair Engineering,3.8,IT Services & Consulting | Bengaluru +7 other locations,"Work Life Balance, Company Culture","Promotions, Work Satisfaction, Skill Development"
Damro Furniture,3.5,Furniture & Furnishing | Bengaluru +29 other locations,,
Head Digital Works,4.3,Gaming | Hyderabad +5 other locations,,
Linedata,2.9,Internet | Mumbai +8 other locations,,
Axis Mutual Fund,3.8,Financial Services | Mumbai +43 other locations,Work Life Balance,"Promotions, Work Satisfaction, Skill Development"
Vega Industries,4.0,Beauty & Personal Care | Noida +28 other locations,,
Damro Furniture,3.5,Furniture & Furnishing | Bengaluru +29 other locations,,
Linedata,2.9,Internet | Mumbai +8 other locations,,
Head Digital Works,4.3,Gaming | Hyderabad +5 other locations,,
Cronus Pharma Specialities India,3.4,Pharma | Hyderabad +6 other locations,,
Isha Foundation,4.2,Non-Profit | Coimbatore +15 other locations,,
Creativelipi Webtech,2.6,IT Services & Consulting | Noida +7 other locations,,
Rabindranath Tagore International Institute of Cardiac Sciences,3.9,Healthcare | Kolkata +9 other locations,"Skill Development, Job Security","Promotions, Salary, Work Satisfaction"
Pacific Global Solutions,3.2,Ahmedabad +5 other locations,,
Partha Dental,3.7,Healthcare | Hyderabad +16 other locations,,
Continental Carbon India,3.7,Chemicals | Ghaziabad +6 other locations,"Work Life Balance, Job Security","Promotions, Company Culture, Work Satisfaction"
Advaith Motors,4.2,Automobile | Bengaluru +11 other locations,,
Anchor Health and Beauty Care,4.0,Beauty & Personal Care | Mumbai +40 other locations,Work Life Balance,"Skill Development, Promotions"
Magnum Group,3.2,BPO | Bhopal +11 other locations,,
Interglobe Air Transport,3.4,Travel & Tourism | New Delhi +27 other locations,,
Sumeru Software Solutions,3.2,IT Services & Consulting | Bengaluru +13 other locations,,
Sun Flag Steel,3.6,Iron & Steel | Bhandara +10 other locations,,
WAE,3.4,Waste Management | Noida +12 other locations,,
VEKA,3.8,Building Material | Hyderabad +25 other locations,"Work Life Balance, Job Security, Salary",Promotions
Enova Facilities Management LLC,4.1,Facility Management Services | Dubai +15 other locations,"Job Security, Skill Development, Work Life Balance",Promotions
ADINATH MOTORS,3.7,New Delhi +82 other locations,,
SP Apparels,4.1,Fashion & Textile | Coimbatore +19 other locations,"Work Life Balance, Job Security, Skill Development","Promotions, Salary"
Aquera,4.6,IT Services & Consulting | Bengaluru +1 other locations,,
Pasa Resources,3.6,Agro Chemicals | Ranchi +15 other locations,,
Uttam Strips,3.4,Iron & Steel | Bhiwadi +10 other locations,,
SightSpectrum Technology Solutions,3.2,IT Services & Consulting | Chennai +3 other locations,,
Futures First info Services,3.3,Financial Services | Gurugram +9 other locations,,
Optimus Information,3.0,IT Services & Consulting | Noida +6 other locations,,
Polaris,3.9,Automobile | Bengaluru +15 other locations,"Work Life Balance, Company Culture, Salary",Promotions
Tata Ficosa Automotive Systems,,Auto Components | Pune +13 other locations,,
Gopaljee Dairy Foods,4.4,Food Processing | Noida +26 other locations,,
Akrivia Automation,4.4,IT Services & Consulting | Visakhapatnam +4 other locations,,
L&T Smart World & Communication,4.2,IT Services & Consulting | Chennai +31 other locations,,
Simpl,2.9,Internet | Bengaluru +1 other locations,,
Rinder India,4.0,Automobile | Pune +8 other locations,,
Deendayal Antyodaya Yojana-National Rural Livelihoods Mission,4.0,Government | New Delhi +72 other locations,"Skill Development, Work Life Balance, Work Satisfaction","Promotions, Job Security, Salary"
Bill Forge,4.3,Auto Components | Bengaluru +8 other locations,"Company Culture, Work Satisfaction, Work Life Balance",Promotions
Group Surya Peb,3.2,Engineering & Construction | Pune +15 other locations,,
Payswiff Solutions,4.0,FinTech | Hyderabad +29 other locations,"Company Culture, Work Life Balance, Job Security",Promotions
Meenakshi Mission Hospital & Research Centre,4.1,Healthcare | Madurai +12 other locations,"Job Security, Skill Development, Work Satisfaction","Promotions, Salary"
Milliman,3.2,Management Consulting | Gurugram +4 other locations,,
Alteus Biogenics,2.6,Pharma | Kolkata +31 other locations,,
Meena Bazaar,3.5,Fashion & Textile | New Delhi +22 other locations,,
Poct Services,3.8,Medical Equipment | Lucknow +37 other locations,"Work Life Balance, Job Security, Skill Development","Promotions, Salary"
Premier Irrigation Adritec,3.8,Agriculture | Kolkata +30 other locations,,
Xcaliber Infotech,3.1,IT Services & Consulting | Pune +4 other locations,,
Brindavan Beverages,3.9,Beverage | Bareilly +12 other locations,Job Security,"Promotions, Salary"
DDB Mudra Group,3.7,Marketing & Advertising | Mumbai +23 other locations,,
Elkayem Auto Ancillaries,3.4,Industrial Machinery | Hosur +7 other locations,,
Encalm Hospitality,4.0,Aviation | New Delhi +6 other locations,,
Suraksha Gold Industries Private Limited,4.4,Building Material | New Delhi +29 other locations,,
Great White Global,3.8,Electrical Equipment | Mumbai +30 other locations,Work Life Balance,"Promotions, Skill Development"
SAGE Publications,3.1,Media & Entertainment | New Delhi +7 other locations,Work Life Balance,"Promotions, Salary, Work Satisfaction"
Dozco,3.9,Industrial Machinery | Visakhapatnam +29 other locations,"Work Life Balance, Job Security, Company Culture",Promotions
Kotak Mahindra Asset Management Company,4.0,Financial Services | Mumbai +55 other locations,"Work Life Balance, Company Culture, Job Security",Promotions
HelpAge India,4.0,Non-Profit | New Delhi +55 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
Sundyota Numandis Pharmaceuticals,3.9,Pharma | Ahmedabad +29 other locations,,
MRI Software,3.2,Software Product | Bengaluru +7 other locations,,
Space Matrix Design Consultants,3.5,Architecture & Interior Design | Bengaluru +10 other locations,,
Galderma,3.6,Healthcare | Mumbai +35 other locations,Salary,"Promotions, Job Security, Work Life Balance"
Liebherr,3.9,Industrial Machinery | Mumbai +27 other locations,"Job Security, Work Life Balance, Salary",Promotions
Kearney,3.2,Management Consulting | Gurugram +8 other locations,,
Thoucentric,3.6,Management Consulting | Bengaluru +7 other locations,"Work Life Balance, Company Culture, Job Security","Promotions, Work Satisfaction"
Sunbeam School,4.0,Education & Training | Varanasi +21 other locations,Skill Development,Job Security
Sri Balaji Action Medical Institute,3.9,Healthcare | New Delhi +3 other locations,Work Life Balance,"Promotions, Job Security, Salary"
Kaefer,3.5,Engineering & Construction | Mumbai +18 other locations,,
Alice Blue Commodities,2.9,FinTech | Bengaluru +21 other locations,,
EMotorad,4.4,Automobile | Pune +4 other locations,,
Muvi,4.1,Internet | Bhubaneswar +3 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Job Security
Magma Housing Finance,4.5,Financial Services | Kolkata +61 other locations,,
Suwasthi,2.4,Beauty & Personal Care | Noida +5 other locations,,
Intelux Electronics,4.1,Electronics Manufacturing | Pune +13 other locations,"Job Security, Work Satisfaction, Skill Development",Promotions
Evertogen Life Sciences,2.9,Pharma | Hyderabad +5 other locations,,
Ayu Health Hospitals,3.6,Healthcare | Bengaluru +8 other locations,,
Aditya Birla Chemicals,3.7,Chemicals | Bharuch +21 other locations,"Job Security, Skill Development","Promotions, Salary"
Sourcefuse Technologies,2.8,IT Services & Consulting | Noida +8 other locations,,
ETP International,3.0,Power | Mumbai +4 other locations,,
Classcanyon,4.5,Education & Training | Greater Noida +4 other locations,,
Future Consumer,4.4,FMCG | Mumbai +28 other locations,,
Dr.SNS Rajalakshmi College Of Arts and Science,4.9,Education & Training | Coimbatore +1 other locations,,
Nxtra Data,4.1,IT Services & Consulting | Pune +13 other locations,"Work Life Balance, Work Satisfaction, Job Security",Promotions
Zacks Research,2.8,Financial Services | Kolkata +1 other locations,,
Arabian Fal,2.8,Oil & Gas | Ras Tanura +16 other locations,,
Apraava Energy,4.2,Power | Mumbai +24 other locations,"Company Culture, Job Security, Work Life Balance",Promotions
ResearchAyu,4.0,Healthcare | Navi Mumbai +6 other locations,,
Casepoint,3.3,IT Services & Consulting | Surat +5 other locations,,
Arundhati Jewellers,3.5,Jewellery | Bhubaneswar +10 other locations,,
Mcpi,4.3,Chemicals | Haldia +5 other locations,"Skill Development, Company Culture, Work Life Balance",Promotions
CapGrid Solutions,3.8,Internet | Gurugram +16 other locations,,
Kirloskar Ebara Pumps,3.7,Industrial Machinery | Pune +11 other locations,,
Brigosha Technologies,2.1,IT Services & Consulting | Bengaluru +3 other locations,,
BEO Software,4.3,IT Services & Consulting | Kochi +3 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
Ogilvy,3.5,Marketing & Advertising | Mumbai +11 other locations,,
UptoSkills,4.6,New Delhi +11 other locations,,
Outbooks Outsourcing,3.6,Accounting & Auditing | New Delhi +9 other locations,,
Sohan Lal Commodity Management,3.7,Logistics | New Delhi +31 other locations,,
OPK e Services,2.7,BPO | Gurugram +5 other locations,,
AVIZVA,2.2,IT Services & Consulting | Gurugram +4 other locations,,
Brickwork Ratings,3.4,Financial Services | Bengaluru +22 other locations,,
Nelco,3.8,Telecom | Mumbai +22 other locations,Job Security,"Promotions, Work Satisfaction, Skill Development"
Costa Coffee,3.7,Hospitality | New Delhi +28 other locations,,
Computer Generated Solutions,3.1,IT Services & Consulting | Hyderabad +6 other locations,,
Agriculture Insurance Company of India,4.1,Insurance | New Delhi +55 other locations,"Work Life Balance, Company Culture, Skill Development",Promotions
Puma Energy,2.9,Power | Mumbai +8 other locations,,
Presidio Solutions Pvt Ltd,4.7,IT Services & Consulting | Chennai +5 other locations,,
J&F,3.6,Engineering & Construction | Chennai +5 other locations,,
Healthworld Hospitals,4.0,Healthcare | Durgapur +7 other locations,"Skill Development, Job Security",Promotions
Market Research Future Reports,3.2,Analytics & KPO | Pune +2 other locations,,
Rajasthan Aushdhalaya,3.4,Pharma | Mumbai +27 other locations,,
Dr D Y Patil Medical College,4.1,Healthcare | Pune +7 other locations,"Work Life Balance, Company Culture, Work Satisfaction","Promotions, Salary"
Unschool Learning,3.3,EdTech | Hyderabad +7 other locations,,
ARK Infosolutions,3.7,IT Services & Consulting | Noida +13 other locations,,
KHD Humboldt Wedag,4.3,Industrial Machinery | New Delhi +7 other locations,,
Icomm Tele,4.1,Telecom | Hyderabad +15 other locations,"Job Security, Work Life Balance, Work Satisfaction","Promotions, Salary"
CriticalRiver,2.9,IT Services & Consulting | Hyderabad +5 other locations,,
Paperpedia,1.9,EdTech | Kolkata +7 other locations,,
Msc Cruises,4.3,Travel & Tourism | Mumbai +11 other locations,,
OakNorth,2.9,Banking | Gurugram +5 other locations,,
Specsmakers Opticians,3.7,Retail | Chennai +19 other locations,,
Sun King,3.6,Electronics Manufacturing | Mumbai +34 other locations,Company Culture,"Job Security, Promotions"
Specsmakers Opticians,3.7,Retail | Chennai +19 other locations,,
SDP & Associates (Office),3.7,Accounting & Auditing | Kolkata +6 other locations,,
BDG Metal & Power,3.8,Iron & Steel | Durgapur +6 other locations,"Work Life Balance, Job Security","Promotions, Salary"
Million Minds Management Services,3.5,Recruitment | New Delhi +39 other locations,,
Solaris Chemtech,4.5,Chemicals | Bhuj +13 other locations,,
Louis Dreyfus Company,4.1,Agriculture | Gurugram +19 other locations,"Company Culture, Work Life Balance, Job Security",Promotions
Log 9 Materials Scientific,3.3,Emerging Technologies | Bengaluru +10 other locations,,
LUCKY MINERALS,3.6,Metals & Mining | Jagdalpur +15 other locations,,
Infinite HR Solutions,3.1,Bengaluru +16 other locations,,
eBIZ.com,2.6,EdTech | Noida +23 other locations,,
Swastik Infralogics Private Limited,3.8,Engineering & Construction | Mumbai +23 other locations,,
Best Koki Automotive,3.5,Auto Components | Gurugram +11 other locations,,
Dream Plast India,3.5,Industrial Machinery | Pune +6 other locations,,
Shilpa Biologicals,2.8,Dharwad +10 other locations,,
Annapurna Group,3.8,FMCG | Guwahati +19 other locations,Work Life Balance,"Promotions, Work Satisfaction"
Norwin Technologies,3.9,IT Services & Consulting | Bengaluru +5 other locations,"Work Life Balance, Salary, Company Culture","Promotions, Job Security"
Abryl Laboratories Manufacturing Unit,3.7,Pharma | Chandigarh +9 other locations,Salary,"Company Culture, Job Security"
Accentuate Technology,4.0,IT Services & Consulting | Bengaluru +12 other locations,"Company Culture, Work Life Balance, Job Security",Promotions
Lotus Wireless Technologies,3.1,IT Services & Consulting | Visakhapatnam +15 other locations,,
Norwin Technologies,3.9,IT Services & Consulting | Bengaluru +5 other locations,"Work Life Balance, Salary, Company Culture","Promotions, Job Security"
Abryl Laboratories Manufacturing Unit,3.7,Pharma | Chandigarh +9 other locations,Salary,"Company Culture, Job Security"
Accentuate Technology,4.0,IT Services & Consulting | Bengaluru +12 other locations,"Company Culture, Work Life Balance, Job Security",Promotions
Jai Beverages,3.4,Beverage | Jammu +15 other locations,,
Kabra Extrusion Technik,3.5,Industrial Machinery | Pune +12 other locations,Work Life Balance,"Promotions, Skill Development, Company Culture"
Systech Solutions,3.6,Analytics & KPO | Chennai +9 other locations,Skill Development,"Promotions, Company Culture, Work Life Balance"
SysArc Infomatix,3.6,FinTech | Chennai +5 other locations,,
Nium,3.3,FinTech | Mumbai +11 other locations,,
Infinite HR Solutions,3.1,Bengaluru +16 other locations,,
Casino Air Caterers & Flight Services,4.0,Hospitality | Kochi +19 other locations,"Job Security, Skill Development","Promotions, Salary"
Stanadyne India,4.0,Auto Components | Chennai +9 other locations,Work Life Balance,"Promotions, Job Security, Salary"
Takenaka,4.2,Architecture & Interior Design | Gurugram +17 other locations,,
Revlon,3.8,Beauty & Personal Care | New Delhi +30 other locations,Work Life Balance,"Job Security, Promotions"
Allyis India,3.2,IT Services & Consulting | Hyderabad +4 other locations,,
KollegeApply,3.9,EdTech | Gurugram +4 other locations,,
Ecozen Solutions,4.2,Industrial Automation | Pune +18 other locations,"Company Culture, Work Life Balance, Job Security",Promotions
Houzeo,3.9,Mumbai +2 other locations,"Skill Development, Company Culture, Job Security",Promotions
Shree Hari Infraprojects,3.1,Engineering & Construction | Jaipur +21 other locations,,
Snapwork Technologies,4.0,IT Services & Consulting | Mumbai +4 other locations,,
Goodrich Logistics Pvt. Ltd.,3.2,Ports & Shipping | Mumbai +20 other locations,,
FinAdvantage,4.1,Accounting & Auditing | Bengaluru +3 other locations,,
Indian Institute of Management,3.7,Education & Training | Ahmedabad +21 other locations,Work Life Balance,"Promotions, Job Security"
Synamedia,3.4,Software Product | Bengaluru +7 other locations,Work Life Balance,"Job Security, Promotions, Skill Development"
Infoblox,3.8,IT Services & Consulting | Bengaluru +6 other locations,,
PerkinElmer,4.2,Pharma | Mumbai +18 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
MRL Tyres,3.6,Auto Components | New Delhi +17 other locations,,
Batra Hospital,3.8,Healthcare | New Delhi +7 other locations,,
Hykon,4.3,Electronics Manufacturing | Thrissur +14 other locations,,
DIC India,3.8,Chemicals | Noida +15 other locations,Job Security,Promotions
PharmaZell,4.1,Pharma | Visakhapatnam +5 other locations,,
Shubham EPC,4.0,Engineering & Construction | Pune +6 other locations,,
Mobase,3.5,Auto Components | Noida +10 other locations,,
Acies,4.0,Software Product | Mumbai +5 other locations,,
Pace Power Systems,3.5,Electrical Equipment | Bengaluru +39 other locations,,
CignaTTk Health Insurance,4.0,Insurance | Mumbai +42 other locations,,
Altigreen Propulsion Labs,3.5,Electronics Manufacturing | Bengaluru +17 other locations,,
KLT Automotive & Tubular Products,3.6,Auto Components | Mumbai +16 other locations,,
Shine,2.8,Internet | Gurugram +23 other locations,,
Bennett University,3.7,Education & Training | Greater Noida +7 other locations,,
Borosil Renewables,3.8,Power | Bharuch +12 other locations,,
Progility Technologies,3.4,IT Services & Consulting | Mumbai +25 other locations,,
Montage Enterprises,3.1,Packaging | Gwalior +13 other locations,,
IndiaLends,3.4,Financial Services | Gurugram +4 other locations,,
GTT Communications,3.2,Hardware & Networking | Pune +6 other locations,,
SunTec Business Solutions,2.9,IT Services & Consulting | Thiruvananthapuram +10 other locations,,
Tekskills,3.7,IT Services & Consulting | Hyderabad +12 other locations,,
Husk Power Systems,3.0,Power | Patna +23 other locations,,
P.N. International,4.0,Import & Export | Lucknow +7 other locations,,
Shri Mahant Indiresh Hospital,3.3,Healthcare | Dehradun +7 other locations,,
Safeducate,4.1,Education & Training | New Delhi +30 other locations,"Company Culture, Skill Development, Work Life Balance",Promotions
ETV Bharat,4.0,Broadcasting | Hyderabad +6 other locations,"Job Security, Work Life Balance, Company Culture","Promotions, Salary"
Agility E Services,3.7,IT Services & Consulting | Hyderabad +2 other locations,Work Life Balance,"Promotions, Salary"
Harsha Engineers International,4.0,Ahmedabad +2 other locations,"Job Security, Skill Development, Work Life Balance",Promotions
HomeShop18,4.0,Internet | Noida +14 other locations,,
Vedic International School,4.4,Education & Training | Sambalpur +4 other locations,,
Envirocare Labs,4.0,Clinical Research | Mumbai +7 other locations,,
VLink,3.8,IT Services & Consulting | Gurugram +5 other locations,,
Priyagold Biscuits,2.7,Food Processing | Noida +39 other locations,,
PGIMER,4.3,Education & Training | Chandigarh +9 other locations,,
Concorde Motors,3.8,Automobile | Bengaluru +12 other locations,"Company Culture, Work Satisfaction, Work Life Balance","Promotions, Salary"
Astute Corporate Services,3.1,Other | Pune +24 other locations,,
Sidel,3.7,Industrial Machinery | Pune +7 other locations,"Work Life Balance, Company Culture","Promotions, Skill Development, Work Satisfaction"
K2k Infrastructure,4.0,Engineering & Construction | Bengaluru +8 other locations,,
Calix,3.9,Telecom | Bengaluru +3 other locations,"Company Culture, Work Life Balance, Salary",Promotions
SAI Consulting Engineers,4.3,Engineering & Construction | Ahmedabad +33 other locations,,
CARS24 Financial Services,3.3,Gurugram +27 other locations,,
DRYCHEM SOLUTIONS,4.0,Building Material | Mumbai +18 other locations,"Company Culture, Work Life Balance, Work Satisfaction","Promotions, Salary"
University of Engineering and Management,4.4,Education & Training | Kolkata +16 other locations,,
NPCC Engineering,3.7,Oil & Gas | Mumbai +12 other locations,"Work Life Balance, Job Security, Work Satisfaction","Promotions, Skill Development"
Nirmal Industrial Controls,3.6,Industrial Automation | Mumbai +20 other locations,,
Ravindra Bharathi Schools,3.4,Education & Training | Hyderabad +27 other locations,,
Foiwe Info Global Solution,4.5,IT Services & Consulting | Bengaluru +2 other locations,,
Zimetrics Technologies,3.5,IT Services & Consulting | Pune +6 other locations,,
Spc Life Sciences,3.4,Chemicals | Ankleshwar +5 other locations,,
Hindustan Colas,3.4,Engineering & Construction | Mumbai +17 other locations,Job Security,"Work Life Balance, Promotions, Work Satisfaction"
Hilton Garden Inn,3.8,Hospitality | New Delhi +17 other locations,,
Etraveli Group,2.8,Travel & Tourism | Pune +7 other locations,,
Apcotex Industries,3.6,Chemicals | Navi Mumbai +11 other locations,,
RKC Infrabiult Private Limited,3.8,Engineering & Construction | Ahmedabad +17 other locations,,
Eisneramper LLP,3.2,Accounting & Auditing | Mumbai +11 other locations,,
Eisneramper LLP,3.2,Accounting & Auditing | Mumbai +11 other locations,,
Fasal,3.2,Agriculture | Bengaluru +24 other locations,,
Ascent Meditech,3.5,Other | Mumbai +32 other locations,,
Tim Hortons,3.0,Hospitality | New Delhi +21 other locations,,
Kamdhenu Paints,2.9,Building Material | Gurugram +47 other locations,,
IFGL Refractories,3.5,Industrial Machinery | Rourkela +27 other locations,,
Vipul Motors,3.6,Automobile | Faridabad +8 other locations,,
SAP-Concur,4.1,Software Product | Bengaluru +5 other locations,"Work Life Balance, Job Security, Company Culture",Promotions
IIT Kharagpur,4.2,Education & Training | Kharagpur +11 other locations,"Work Life Balance, Work Satisfaction, Skill Development","Promotions, Salary"
More Mega Store,4.2,Retail | Bengaluru +33 other locations,,
IMMCO,3.2,Kochi +9 other locations,Job Security,"Promotions, Salary, Work Satisfaction"
SKS Business Services,3.1,Accounting & Auditing | Jamnagar +21 other locations,,
Altruistic Technology Labs,3.5,IT Services & Consulting | Bengaluru +15 other locations,,
Indian Institute of Technology Madras,4.2,Education & Training | Chennai +9 other locations,"Skill Development, Work Life Balance, Work Satisfaction",Promotions
SPD Constructions,3.8,Bhubaneswar +15 other locations,Salary,"Work Life Balance, Work Satisfaction, Promotions"
Mtg Learning Media,3.7,Printing & Publishing | Gurugram +13 other locations,Work Life Balance,"Promotions, Skill Development, Salary"
Dyuti Technologies,4.5,IT Services & Consulting | Bengaluru +3 other locations,,
Dr. Amin Controllers,3.8,Engineering & Construction | Mumbai +26 other locations,,
ENTRI SOFTWARE,3.9,EdTech | Kochi +11 other locations,"Company Culture, Salary","Promotions, Job Security"
IndiGrid,4.1,Real Estate | Mumbai +30 other locations,"Company Culture, Job Security, Work Life Balance",Promotions
Naiknavare Developers,3.7,Real Estate | Pune +4 other locations,Work Life Balance,"Work Satisfaction, Promotions"
Spinco Biotech,3.5,Biotechnology | Chennai +17 other locations,,
Share India Securities,3.8,Consumer Electronics & Appliances | New Delhi +14 other locations,Work Life Balance,"Promotions, Salary, Skill Development"
Barco Electronic Systems,4.1,Consumer Electronics & Appliances | Noida +5 other locations,"Work Life Balance, Company Culture, Salary",Promotions
